Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cin/create/210,544,1,43,1020.4684431672695,14.35795399993367,35929.22815700149,3.0330882352941178,0.07552610792790795,0.00013883475722041905,43,60,390,870,3900,7100,9500,11000,36000,36000,36000
POST,/cin/create/211,525,3,42,944.724484769486,11.999369999102782,13102.669001000322,3.0628571428571427,0.07288824754072,0.0004165042716612571,42,57,330,920,3300,6500,9500,11000,13000,13000,13000
POST,/cin/create/212,527,1,46,1097.7899166831094,11.596480000662268,37731.02319799909,3.03415559772296,0.07316591705516083,0.00013883475722041905,46,220,720,1100,4200,6300,9000,10000,38000,38000,38000
POST,/cin/create/213,517,4,46,934.5072262650308,10.3557530001126,12820.76692499868,3.117988394584139,0.07177756948295665,0.0005553390288816762,46,110,620,1000,3100,5400,9100,11000,13000,13000,13000
POST,/cin/create/214,523,3,44,1057.8523324531834,9.65131900011329,17058.386890001202,3.063097514340344,0.07261057802627915,0.0004165042716612571,44,75,580,1200,3900,6700,9100,11000,17000,17000,17000
POST,/cin/create/215,547,3,45,1014.1811042321791,12.40102100018703,12475.311251999301,3.060329067641682,0.07594261219956921,0.0004165042716612571,45,88,600,1200,3700,6500,9300,9800,12000,12000,12000
POST,/cin/create/216,549,1,44,1003.3603402514035,13.626596999529283,13810.95936299971,3.0327868852459017,0.07622028171401006,0.00013883475722041905,44,76,560,1200,3900,6000,8900,10000,14000,14000,14000
POST,/cin/create/217,566,1,44,1044.841491685498,11.663262999718427,13174.523969999427,3.0318021201413425,0.07858047258675718,0.00013883475722041905,44,89,580,1100,3700,6500,9000,12000,13000,13000,13000
POST,/cin/create/218,533,3,43,1154.6115013846154,9.188554000502336,39745.129086000816,3.0619136960600377,0.07399892559848335,0.0004165042716612571,43,71,400,1000,4600,7400,9600,11000,40000,40000,40000
POST,/cin/create/219,529,2,42,893.6582526465494,1.003327999569592,12820.21689099929,3.0283553875236295,0.07344358656960168,0.0002776695144408381,42,56,290,810,2800,6300,9800,12000,13000,13000,13000
POST,/cin/create/22,514,3,46,1118.9878549533335,9.731563999594073,16848.63449399927,3.0642023346303504,0.07136106521129539,0.0004165042716612571,46,85,490,1100,4200,7500,10000,12000,17000,17000,17000
POST,/cin/create/220,511,6,43,1155.592869665366,10.237186999802361,14045.784036999976,3.1702544031311155,0.07094456093963412,0.0008330085433225142,43,91,660,1500,4400,7500,9600,11000,14000,14000,14000
POST,/cin/create/221,553,5,45,1070.0578421029943,13.765157000307227,36526.419093001095,3.0108499095840866,0.07677562074289174,0.0006941737861020952,45,98,540,1200,3700,6200,9400,12000,37000,37000,37000
